Stock_Price,Profit,Revenue,Budget_Allocation,Market_Demand,Sales_Forecast,Strategic_Initiatives,Employee_Attrition,Workload,Target
102.45,750000,5200000,150000,High,Strong,Yes,Low,High,15
75.20,500000,3800000,120000,Moderate,Stable,No,Medium,Medium,10
120.75,900000,6500000,200000,High,Strong,Yes,Low,High,20
88.60,600000,4200000,130000,Moderate,Stable,Yes,Medium,High,12
110.30,850000,5900000,180000,High,Strong,Yes,Low,High,18
95.10,650000,4600000,140000,Moderate,Stable,No,Medium,Medium,13
115.80,800000,5500000,160000,High,Strong,Yes,Low,High,19
80.25,550000,4000000,110000,Moderate,Stable,Yes,Medium,Medium,11
105.70,780000,5300000,170000,High,Strong,Yes,Low,High,16
92.40,630000,4500000,130000,Moderate,Stable,No,Medium,Medium,14
100.00,700000,4800000,140000,Moderate,Stable,Yes,Low,High,17
85.60,570000,4100000,120000,Moderate,Stable,Yes,Medium,Medium,10
95.75,680000,4700000,140000,Moderate,Stable,Yes,Low,High,15
110.20,820000,5600000,170000,High,Strong,Yes,Low,High,20
78.90,520000,3900000,110000,Moderate,Stable,No,Medium,Medium,9
107.30,770000,5200000,160000,High,Strong,Yes,Low,High,18
82.10,560000,4100000,120000,Moderate,Stable,Yes,Medium,Medium,11
115.40,830000,5900000,180000,High,Strong,Yes,Low,High,22
90.80,600000,4300000,130000,Moderate,Stable,No,Medium,Medium,13
105.00,750000,5100000,160000,High,Strong,Yes,Low,High,19
85.25,580000,4200000,120000,Moderate,Stable,Yes,Medium,Medium,11
100.90,720000,4900000,150000,Moderate,Stable,Yes,Low,High,16
87.40,590000,4300000,130000,Moderate,Stable,No,Medium,Medium,12
112.60,800000,5500000,170000,High,Strong,Yes,Low,High,21
76.80,530000,3800000,110000,Moderate,Stable,Yes,Medium,Medium,9


